ticker,price,시가총액,sector1,sector2,PER_E,FCF,부채비율,ROE_E,ROA_E,EPS_E,EPS_M,EV/EBITDA_E
004370,424500,2582081529000,음식료품,식품,10.81,345.0,31.73,8.06,6.11,31621.0,17500.0,5.24
005385,107400,2589748980600,운수장비,자동차,3.6,-17806.0,175.79,14.21,4.92,45353.0,11250.0,6.42
008770,66800,2621774482800,유통업,백화점과일반상점,16.34,568.0,355.44,23.33,4.83,3521.0,-721.6666666666666,12.34
007070,25150,2633655738300,유통업,백화점과일반상점,16.34,2795.0,122.37,4.56,1.92,1792.0,4292.333333333333,4.58
000990,60000,2663915280000,전기전자,반도체와반도체장비,28.88,559.0,17.93,14.18,11.48,5534.0,4400.0,4.28
006260,84500,2720900000000,기타금융업,전기장비,16.66,2232.0,178.0,8.55,2.73,11019.0,4451.0,5.91
001040,93900,2739720112200,기타금융업,복합기업,17.35,12053.0,166.41,4.02,1.04,5963.0,5877.0,3.73
064350,25700,2804956930100,운수장비,기계,19.32,-2844.0,208.48,9.04,2.9,1327.0,-1078.0,13.77
272210,15150,2862128743350,전기전자,우주항공과국방,18.22,-1579.0,94.46,15.48,7.92,1749.0,672.6666666666666,11.91
003410,6060,3022103626080,비금속광물,건축자재,10.84,-29.0,136.06,11.33,4.02,365.0,300.6666666666667,7.95
004990,29100,3052858796700,기타금융업,복합기업,17.35,2742.0,136.66,1.27,0.94,858.0,-785.0,8.32
267260,86000,3100053610000,전기전자,전기장비,16.66,-160.0,210.73,20.27,6.93,5109.0,-4245.333333333333,8.95
383220,86500,3313561987500,섬유의복,"섬유,의류,신발,호화품",8.37,-20.0,46.16,42.96,26.57,12046.0,8852.0,4.49
035250,15770,3373841685000,서비스업,"호텔,레스토랑,레저",19.16,2048.0,19.85,8.32,6.89,1368.0,75.33333333333333,6.35
180640,53500,3571781926500,운수창고업,"호텔,레스토랑,레저",19.16,166.0,32.61,10.68,7.08,4116.0,-2770.6666666666665,53.94
011790,97000,3673224906000,화학,화학,38.69,-2478.0,170.82,-10.77,-3.05,-4639.0,2804.0,60.55
011780,128700,3674086287300,화학,화학,38.69,2316.0,38.49,7.41,5.49,13276.0,28298.33333333333,5.0
021240,50900,3756400607100,서비스업,가정용기기와용품,13.88,215.0,81.95,19.78,10.76,6706.0,5435.666666666667,3.51
128940,305000,3831458190000,의약품,제약,106.38,437.0,72.78,14.42,8.19,10647.0,3478.333333333333,13.93
018880,7280,3886064000000,기계,자동차부품,9.78,-4063.0,257.56,7.1,1.85,304.0,460.6666666666667,7.66
005387,108200,3908248595400,운수장비,자동차,3.6,-17806.0,175.79,14.21,4.92,45353.0,11250.0,6.42
