,추정EPS(2023),EPS(3년 평균),EV/EVIBTA
009320,,-43.0,
003090,2981.0,1368.0,4.29
069620,6697.0,1705.0,9.47
000430,703.0,14.333333333333334,3.82
006340,,12.666666666666666,
006345,,12.666666666666666,
003220,1455.0,792.3333333333334,7.89
024890,,-27.0,
002880,,-20.0,
000300,,-10.666666666666666,
012800,,137.66666666666666,
015230,,634.0,
001070,,-714.3333333333334,
006650,-4491.0,19667.666666666668,8.96
001440,,66.66666666666667,
084010,3030.0,2981.3333333333335,
001790,,199.33333333333334,
001795,,199.33333333333334,
001130,,24700.333333333332,
003490,3347.0,-1157.6666666666667,3.43
003495,3347.0,-1157.6666666666667,3.43
005880,392.0,408.3333333333333,6.5
003830,,15838.333333333334,
016090,,338.3333333333333,
069460,,-61.333333333333336,
192080,8240.0,6331.666666666667,1.5
012510,1052.0,1727.3333333333333,11.96
004830,,190.0,
004835,,190.0,
024900,,-104.0,
145720,8384.0,2795.3333333333335,10.04
002150,,496.6666666666667,
460850,856.0,,4.36
460860,5673.0,,3.86
001230,,1911.0,
023450,,3642.0,
004140,,35.333333333333336,
007590,,493.3333333333333,
005960,-190.0,3292.6666666666665,15.43
005965,-190.0,3292.6666666666665,15.43
026960,,1228.0,
002210,,-344.3333333333333,
102260,,215.0,
000640,10305.0,13091.333333333334,7.87
170900,1979.0,4289.666666666667,11.59
028100,,746.3333333333334,
282690,,1324.6666666666667,
001520,,-10.666666666666666,
001527,,-10.666666666666666,
084670,,-869.3333333333334,
082640,,1055.3333333333333,
001525,,-10.666666666666666,
008970,,14.0,
092780,,249.66666666666666,
049770,5503.0,3681.3333333333335,4.31
018500,,82.66666666666667,
006040,,9433.0,
030720,,738.0,
014820,2071.0,1650.6666666666667,8.32
014825,2071.0,1650.6666666666667,8.32
111380,4506.0,1424.0,
163560,,518.3333333333334,
004890,,7634.666666666667,
002690,,186.33333333333334,
000020,,662.3333333333334,
000150,2366.0,634.0,2.84
000157,2366.0,634.0,2.84
454910,-206.0,-335.3333333333333,-785.75
241560,8874.0,3010.3333333333335,2.54
034020,531.0,-1538.6666666666667,7.0
000155,2366.0,634.0,2.84
336260,70.0,314.0,55.32
33626K,70.0,314.0,55.32
33626L,70.0,314.0,55.32
016740,,336.0,
192650,393.0,607.0,7.18
024090,,2683.0,
003160,283.0,226.66666666666666,14.42
092200,,-1349.3333333333333,
377190,,43.333333333333336,
013570,,-29.666666666666668,
210540,,2280.6666666666665,
115390,,275.0,
032350,-1885.0,-1430.3333333333333,36.3
089860,3660.0,2108.0,3.67
330590,,70.66666666666667,
000400,,2.6666666666666665,
023530,7006.0,-23266.666666666668,7.27
020150,-423.0,1101.3333333333333,20.52
280360,10475.0,5919.0,5.52
004000,9727.0,12307.666666666666,2.1
286940,3012.0,2623.3333333333335,3.47
004990,858.0,-785.0,8.32
00499K,858.0,-785.0,8.32
005300,13628.0,-1318.6666666666667,6.61
005305,13628.0,-1318.6666666666667,6.61
011170,953.0,20418.333333333332,11.08
071840,-4307.0,-1816.3333333333333,6.04
027740,,-907.0,
357430,,273.0,
001080,,407.0,
088980,,,
094800,,,
138040,11293.0,4105.666666666667,
090370,,-1699.6666666666667,
017180,,-645.3333333333334,
009900,3053.0,-133.0,3.64
012690,,124.0,
005360,,298.3333333333333,
204210,,258.0,
009680,,385.6666666666667,
009580,,107.0,
009200,,-436.3333333333333,
033920,,244.66666666666666,
008420,,591.3333333333334,
025560,,-133.0,
007120,,228.0,
396690,,-70.5,
357250,,42.333333333333336,
085620,,456.0,
006800,766.0,1096.3333333333333,
00680K,766.0,1096.3333333333333,
006805,766.0,1096.3333333333333,
002840,,9382.333333333334,
268280,,9978.333333333334,
107590,,9476.666666666666,
134380,,5863.666666666667,
003650,,13516.666666666666,
377740,-743.0,4308.333333333333,-1.37
003610,,142.0,
001340,,305.0,
035150,1590.0,141.33333333333334,4.62
002410,,460.6666666666667,
007210,556.0,-43.0,3.85
002760,,15.333333333333334,
003850,647.0,544.6666666666666,7.44
000890,,-58.0,
003000,,-71.66666666666667,
001270,,4123.333333333333,
001275,,4123.333333333333,
026940,,190.66666666666666,
011390,,1421.0,
005030,,-341.6666666666667,
002070,,-1101.6666666666667,
100220,,64.0,
090460,3262.0,1660.0,4.39
030790,,-5476.0,
005180,8357.0,1915.3333333333333,2.08
003960,,7028.0,
008040,,30.333333333333332,
007160,,2630.0,
014710,,233.0,
006090,,1678.3333333333333,
001470,,-29.0,
448730,,-143.0,
006400,27713.0,9951.0,9.42
006405,27713.0,9951.0,9.42
006660,,314.3333333333333,
028260,12361.0,6543.333333333333,5.94
02826K,12361.0,6543.333333333333,5.94
207940,11445.0,3406.0,33.49
032830,9475.0,6187.666666666667,
018260,9428.0,7716.0,5.69
028050,3996.0,1608.3333333333333,2.91
009150,6201.0,8636.666666666666,6.85
009155,6201.0,8636.666666666666,6.85
005930,1560.0,4261.333333333333,7.98
005935,1560.0,4261.333333333333,7.98
001360,,-380.6666666666667,
010140,171.0,-2066.6666666666665,19.13
016360,7432.0,6961.333333333333,
068290,,2041.6666666666667,
029780,4894.0,3722.6666666666665,
000810,40960.0,16613.333333333332,
000815,40960.0,16613.333333333332,
006110,,624.6666666666666,
145990,,4140.333333333333,
145995,,4140.333333333333,
003230,16273.0,8102.666666666667,9.16
002170,,14139.0,
272550,,2134.3333333333335,
000070,,13940.333333333334,
000075,,13940.333333333334,
003720,365.0,16.333333333333332,16.22
002810,,1839.6666666666667,
005680,785.0,616.6666666666666,-10.03
023000,,228.0,
004380,,306.6666666666667,
002450,,178.0,
004440,,-41.0,
000520,,-71.66666666666667,
009770,,5219.0,
005500,,1634.6666666666667,
004690,4439.0,10630.0,6.37
010960,,721.3333333333334,
004450,,1743.3333333333333,
009470,,1076.0,
011230,,-267.6666666666667,
001820,2487.0,2610.0,6.26
000390,,100.33333333333333,
001290,,8.666666666666666,
041650,,173.66666666666666,
075180,,206.0,
007540,,4847.333333333333,
248170,,6316.0,
007860,,-591.3333333333334,
200880,5550.0,-758.3333333333334,2.37
017390,,11233.333333333334,
004410,,-9.666666666666666,
004415,,-9.666666666666666,
021050,,102.33333333333333,
008490,1150.0,3988.0,7.65
007610,,-357.0,
136490,,1920.0,
014910,,1.6666666666666667,
014915,,1.6666666666666667,
003080,,-124.66666666666667,
004980,1544.0,449.6666666666667,6.77
004985,1544.0,449.6666666666667,6.77
011300,,-151.33333333333334,
000180,,1.3333333333333333,
002420,,-342.6666666666667,
004360,,1329.6666666666667,
004365,,1329.6666666666667,
004490,,5450.666666666667,
001430,4543.0,-398.0,4.54
306200,63260.0,17547.0,0.96
003030,84507.0,15289.333333333334,1.48
019440,,1271.0,
058650,,-6828.666666666667,
013000,,13.0,
091090,,-463.0,
021820,,702.6666666666666,
067830,,321.3333333333333,
033530,,-263.0,
075580,326.0,121.0,14.51
068270,4753.0,3196.0,22.17
336370,611.0,151.33333333333334,-6796.12
