,종목코드,S
566,012170,37.0
567,267850,426.0
568,020560,20019.0
569,122900,8100.0
570,010780,4416.0
571,139990,2774.0
572,001780,1489.0
573,018250,1739.0
574,161000,4602.0
575,011090,537.0
576,137310,1510.0
577,118000,43.0
578,005850,11828.0
579,010580,366.0
580,012750,6454.0
581,023960,346.0
582,298690,2305.0
583,140910,시가총액
584,078520,653.0
585,015260,356.0
586,007460,399.0
587,003060,201.0
588,244920,971.0
589,450080,2400.0
590,036570,4231.0
591,380440,-
592,085310,173.0
593,900140,511.0
594,097520,2364.0
595,014440,221.0
596,111770,9988.0
597,009970,10509.0
598,003520,594.0
599,000670,10567.0
600,006740,221.0
601,012280,737.0
602,012160,1339.0
603,015360,2002.0
604,007310,9087.0
605,002630,64.0
606,271560,7663.0
607,001800,7847.0
608,011690,392.0
609,070960,519.0
610,316140,98840.0
611,006980,1599.0
612,017370,648.0
613,105840,285.0
614,010400,279.0
615,049800,504.0
616,016880,2521.0
617,095720,2181.0
618,005820,189.0
619,010600,252.0
620,008600,538.0
621,033270,706.0
622,014830,2507.0
623,446070,427.0
624,000910,563.0
625,047400,307.0
626,011330,314.0
627,077500,1626.0
628,002920,782.0
629,000700,858.0
630,003470,7599.0
631,003475,7599.0
632,072130,91.0
633,000220,341.0
634,000225,341.0
635,000227,341.0
636,001200,3546.0
637,000100,4831.0
638,000105,4831.0
639,003460,60.0
640,003465,60.0
641,008730,1157.0
642,008250,780.0
643,025820,1109.0
644,214320,4975.0
645,088260,시가총액
646,139480,77096.0
647,457190,552.0
648,007660,1662.0
649,005950,5159.0
650,015020,19.0
651,093230,577.0
652,074610,27.0
653,102460,374.0
654,084680,255.0
655,350520,시가총액
656,334890,시가총액
657,000760,119.0
658,014990,278.0
659,101140,13.0
660,006490,242.0
661,023800,1703.0
662,034590,1186.0
663,129260,1478.0
664,023810,1341.0
665,249420,1495.0
666,000230,1601.0
667,013360,1490.0
668,003120,181.0
669,003200,1297.0
670,007110,164.0
671,007570,1006.0
672,007575,1006.0
673,008500,82.0
674,081000,390.0
675,020760,163.0
676,103590,2855.0
677,271940,202.0
678,015860,3411.0
679,226320,331.0
680,317400,5127.0
681,033240,1072.0
682,000950,308.0
683,348950,시가총액
684,194370,2685.0
685,025620,41.0
686,030000,10783.0
687,271980,1772.0
688,001560,210.0
689,002620,1948.0
690,006220,958.0
691,089590,4434.0
692,004910,649.0
693,004700,309.0
694,001550,126.0
695,462520,1232.0
696,120030,152.0
697,018470,1156.0
698,002600,999.0
699,185750,4036.0
700,063160,423.0
701,001630,2230.0
702,044380,90.0
703,013890,2215.0
704,013870,1730.0
705,071320,6073.0
706,088790,92.0
707,003780,228.0
708,010640,137.0
709,100250,659.0
710,051630,60.0
711,272450,3225.0
712,011000,117.0
713,002780,2025.0
714,002787,2025.0
715,002785,2025.0
716,009310,179.0
717,000650,113.0
718,012600,49.0
719,033250,186.0
720,035720,21609.0
721,323410,6566.0
722,377300,1589.0
723,006380,38.0
724,109070,58.0
725,001620,1491.0
726,029460,1903.0
727,281820,842.0
728,381970,5286.0
729,145270,시가총액
730,417310,시가총액
731,357120,시가총액
732,007815,3503.0
733,007810,3503.0
734,00781K,3503.0
735,003690,17358.0
736,192820,4583.0
737,044820,1675.0
738,005070,1542.0
739,005420,1948.0
740,071950,156.0
741,002020,14330.0
742,003070,6240.0
743,003075,6240.0
744,450140,5995.0
745,45014K,5995.0
746,002025,14330.0
747,120110,11833.0
748,120115,11833.0
749,138490,1124.0
750,021240,10077.0
751,036420,2690.0
752,031820,2381.0
753,192400,1905.0
754,284740,2407.0
755,264900,1084.0
756,26490K,1084.0
757,005740,2570.0
758,005745,2570.0
759,259960,4503.0
760,020120,425.0
761,039490,21008.0
762,014580,795.0
763,015890,1666.0
764,006890,195.0
765,003240,5901.0
766,011280,1779.0
767,004100,1540.0
768,004105,1540.0
769,009410,7461.0
770,009415,7461.0
771,001420,21.0
772,007980,3062.0
773,055490,357.0
774,078000,99.0
775,214420,368.0
776,019180,1379.0
777,363280,981.0
778,36328K,981.0
779,091810,3451.0
780,004870,13.0
781,005690,122.0
782,036580,4572.0
783,004720,411.0
784,028670,11116.0
785,010820,381.0
786,016800,842.0
787,001020,896.0
788,090080,1406.0
789,010770,2022.0
790,058430,2852.0
791,047050,80459.0
792,003670,12858.0
793,017810,7461.0
794,103140,9308.0
795,005810,963.0
796,950210,1.0
797,009810,516.0
798,086790,178547.0
799,293480,556.0
800,039130,1267.0
801,352820,5379.0
802,071090,704.0
803,019490,21.0
804,000080,6544.0
805,000087,6544.0
806,000140,6510.0
807,000145,6510.0
808,152550,시가총액
809,036460,78893.0
810,005430,1474.0
811,071050,54490.0
812,071055,54490.0
813,010040,1037.0
814,025540,3185.0
815,010100,3779.0
816,004090,1732.0
817,002200,786.0
818,002960,801.0
819,000240,2973.0
820,123890,570.0
821,015760,244700.0
822,006200,644.0
823,027970,1755.0
824,023350,839.0
825,025890,137.0
826,000970,1056.0
827,104700,2032.0
828,017960,1557.0
829,161890,5164.0
830,024720,1545.0
831,161390,23401.0
832,034830,481.0
833,007280,1838.0
834,168490,시가총액
835,047810,10071.0
836,123690,203.0
837,003350,282.0
838,011500,529.0
839,002390,1272.0
840,053690,1029.0
841,042700,312.0
842,008930,3094.0
843,128940,3646.0
844,009240,4809.0
845,020000,3241.0
846,003680,854.0
847,105630,5120.0
848,069640,630.0
849,016450,7462.0
850,010420,715.0
851,009180,1812.0
852,213500,5235.0
853,014680,1883.0
854,004710,4418.0
855,004150,1063.0
856,025750,800.0
857,004960,3298.0
858,011700,156.0
859,001750,2026.0
860,001755,2026.0
861,018880,23274.0
862,009420,330.0
863,014130,1650.0
864,300720,4245.0
865,002220,531.0
866,006390,1116.0
867,003300,5304.0
868,051600,3323.0
869,052690,1194.0
870,130660,907.0
871,002320,6919.0
872,003480,1623.0
